year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1916,1,10,-4.04,25,33.04,-16.19,-3.89,19.83,-1.83,28.89,27.19
1916,11,5,9.03,30.56,34.12,-8.38,1.67,24.35,-0.82,28.89,28.02
1917,2,2,-1.81,-2.22,33.61,-15.11,-6.11,20.52,-1.53,3.89,27.92
1917,3,11,3.75,29.44,36.3,-9.66,1.11,21.05,0.71,28.33,28.16
1917,9,12,21.67,26.67,40.04,8.04,6.67,27.99,2.53,20,23.15
1917,9,13,21.06,20.56,40.37,8.51,11.67,27.25,3.03,8.89,22.63
1918,1,4,-2.4,14.44,31.25,-16.39,-10.56,20.72,-0.26,25,24.78
1918,2,5,-2.05,22.22,32.22,-14.96,-7.22,19.16,-0.78,29.44,26.66
1918,4,11,10.97,10,37.9,-4.75,4.44,24.09,2.6,5.56,26.94
1918,6,17,22.03,21.11,42.59,12.17,18.89,26.94,3.41,2.22,22.1
1918,7,3,24.21,36.67,41.93,14.29,14.44,26.94,3.72,22.23,21.19
1918,7,4,25.2,35,41.16,14.62,14.44,26.59,4.5,20.56,20.62
1918,7,5,24.16,38.33,41.68,15.09,16.67,26.31,3.52,21.66,20.92
1918,7,13,23.83,30.56,42.33,14.59,13.89,27.24,3.87,16.67,20.46
1918,7,14,24.13,31.67,42.3,15.78,14.44,26.56,3.73,17.23,20.4
1918,7,15,25.66,32.78,41.29,15.7,15.56,26.61,4.21,17.22,20.43
1918,9,8,21.84,21.11,41.12,11.18,18.33,26.55,2.51,2.78,22.72
1919,6,23,23.16,24.44,42.84,13.15,21.11,26.84,4.45,3.33,21.56
1919,6,24,23.17,23.33,42.91,13.22,20.56,27.33,4.28,2.77,21.25
1919,7,2,23.11,31.67,42.95,14.04,13.33,27.1,3.57,18.34,21.35
1919,7,3,24.21,32.78,41.93,14.29,13.33,26.94,3.72,19.45,21.19
1919,8,1,24.26,27.22,41.98,15.57,25,26.66,3.23,2.22,20.78
1919,8,12,23.28,21.67,41.93,15.53,21.11,26.33,2.92,0.56,20.45
1919,10,23,11.35,31.11,36.54,-5.77,25,24.94,-0.21,6.11,28.88
1920,3,27,8.1,30.56,36.71,-6.54,-0.56,24.26,-0.48,31.12,27.68
1920,7,27,25.75,28.89,40.9,15.98,15,26.45,4.3,13.89,19.91
1920,7,28,25.5,31.11,41.32,15.81,14.44,26.81,4.32,16.67,19.85
1920,7,29,25.49,31.67,41.73,16.16,13.33,26.69,4.2,18.34,20.17
1920,7,30,25.24,33.33,42.11,15.58,15,26.89,4.32,18.33,20.55
1921,10,8,14.74,14.44,37.78,-1.09,3.33,28.39,-0.88,11.11,26.08
1922,4,29,12.86,10,40.61,-0.68,5.56,25.6,2.7,4.44,25.91
1922,4,30,14.98,14.44,39.56,0.82,5.56,24.52,2.38,8.88,26.88
1922,5,1,16.49,15.56,38.53,2.84,10,23.97,3.01,5.56,25.29
1922,5,22,19.94,18.89,40.59,6.57,17.22,26.29,3.32,1.67,24.36
1922,5,28,19.09,18.33,41.77,7.54,11.11,26.42,3.59,7.22,23.37
1923,2,21,1.34,1.11,33.63,-12.56,0,19.53,0.23,1.11,27.73
1923,4,1,8.84,28.89,37.77,-6.66,-1.11,24.65,0.05,30,28.47
1923,4,2,6.91,1.11,40.12,-5.3,0.56,22.87,-0.14,0.55,29.63
1924,1,6,-1.62,-4.44,31.96,-17.2,-11.67,20.67,0.29,7.23,26.59
1924,4,14,10.89,31.67,38.33,-4.16,1.11,24.68,0.36,30.56,28.32
1924,9,7,20.8,28.33,42.09,11.19,10.56,26.83,1.94,17.77,22.92
1925,8,20,23.8,42.78,41.2,15.35,22.22,26.26,2.94,20.56,20.52
1925,9,4,23.37,43.89,40.78,12.13,22.78,27.02,3.29,21.11,21.71
1926,7,16,25.4,27.78,41.09,15.95,15.56,26.22,4.26,12.22,20.07
1926,7,17,25.58,30,40.96,16.03,15.56,26.23,4.92,14.44,19.37
1927,5,7,15.47,20.56,40.8,2.57,19.44,25.22,1.98,1.12,26.47
1927,6,17,22.03,20.56,42.59,12.17,15.56,26.94,3.41,5,22.1
1927,6,27,23.63,25.56,42.02,14.75,23.89,26.16,3.42,1.67,21.3
1928,5,8,14.2,12.22,42.53,3.09,5.56,25.63,1.82,6.66,26.17
1928,6,5,20.43,27.22,41.45,10.57,26.11,26.63,2.43,1.11,22.24
1928,6,6,21.96,29.44,40.31,10.41,26.67,26.66,3.1,2.77,22.1
1928,6,7,21.27,21.11,41.73,11.08,15,26.12,2.12,6.11,23.67
1928,6,8,23.39,36.11,40.21,10.59,12.78,26.71,3.75,23.33,22.55
1928,6,28,22.21,21.11,43.2,13.1,17.78,27.43,2.77,3.33,22.11
1928,8,5,25.39,32.78,40.87,15.6,26.67,26.45,3.85,6.11,20.44
1928,8,21,23.12,22.78,41.34,13.39,21.67,27.24,3.35,1.11,20.51
1929,6,10,21.21,21.11,42.57,9.89,19.44,27.64,1.56,1.67,24.7
1929,11,12,5.81,36.67,34.75,-10.91,15.56,23.97,-0.86,21.11,28.25
1930,7,16,25.4,24.44,41.09,15.95,21.11,26.22,4.26,3.33,20.07
1930,8,23,23.69,28.89,40.84,13.12,12.78,26.98,3.41,16.11,21.01
1930,8,29,22.71,38.33,41.06,13.23,16.67,26.47,2.53,21.66,21.54
1931,5,24,18.9,25,41.89,7.54,7.22,25.55,2.54,17.78,25.2
1931,9,18,18.28,41.67,41.33,8.45,21.67,27.11,-0.26,20,24.3
1933,6,16,22.51,30,41.97,11.73,11.11,26.93,3.64,18.89,22.2
1933,7,5,24.16,28.89,41.68,15.09,14.44,26.31,3.52,14.45,20.92
1934,5,17,19.15,17.22,39.36,4.49,11.67,26.1,3.27,5.55,24.51
1934,5,28,19.09,17.78,41.77,7.54,12.22,26.42,3.59,5.56,23.37
1934,5,29,19.55,17.22,41.49,8.72,14.44,25.45,2.32,2.78,24.6
1936,7,31,23.71,21.11,42.78,15.47,15,26.66,3.3,6.11,21.06
1938,7,25,25.34,23.89,41.07,15.78,21.11,26.69,4.36,2.78,19.65
1940,7,4,25.2,27.22,41.16,14.62,23.33,26.59,4.5,3.89,20.62
1940,7,5,24.16,24.44,41.68,15.09,22.22,26.31,3.52,2.22,20.92
1940,7,6,24.4,26.11,41.64,14.84,23.89,26.76,4.05,2.22,20.36
1940,8,12,23.28,25,41.93,15.53,22.22,26.33,2.92,2.78,20.45
1942,8,26,22.78,27.22,41.2,12.96,11.67,26.95,2.62,15.55,21.44
1943,6,6,21.96,40.56,40.31,10.41,23.33,26.66,3.1,17.23,22.1
1943,7,2,23.11,21.67,42.95,14.04,17.22,27.1,3.57,4.45,21.35
1943,8,20,23.8,30.56,41.2,15.35,15,26.26,2.94,15.56,20.52
1944,7,22,24.66,29.44,42.07,15.93,15.56,26.47,4.91,13.88,19.54
1944,8,10,25.12,31.67,41.25,15.87,15.56,26.31,3.59,16.11,20.59
1944,8,11,23.63,34.44,41.4,15.88,15.56,26.2,2.19,18.88,20.77
1946,7,5,24.16,23.33,41.68,15.09,21.11,26.31,3.52,2.22,20.92
1947,6,22,24.1,23.89,42.16,13.85,16.11,26.67,3.9,7.78,21.87
1947,6,23,23.16,17.78,42.84,13.15,12.78,26.84,4.45,5,21.56
1947,6,24,23.17,26.67,42.91,13.22,12.22,27.33,4.28,14.45,21.25
1948,9,5,21.3,21.11,41.88,12.02,18.89,27.26,1.38,2.22,22.52
1949,8,22,23.8,22.22,40.8,13.26,18.33,27.01,2.78,3.89,21.55
1950,7,9,24.06,22.22,42.06,14.97,18.89,26.42,3.31,3.33,21.41
1950,9,7,20.8,17.78,42.09,11.19,13.33,26.83,1.94,4.45,22.92
1950,11,25,4.7,18.33,32.3,-11.7,-11.11,20.18,0.07,29.44,28.5
1950,11,26,2.98,-3.89,33.9,-12.37,-10.56,21.42,-0.88,6.67,28.74
1952,8,25,23.77,22.78,40.57,13.05,16.67,26.7,3.86,6.11,20.73
1952,10,9,15.22,13.33,37.21,-0.04,10.56,26.86,0.2,2.77,25.43
1952,10,22,11.25,10,36.93,-4.45,0.56,24.58,-2.11,9.44,30.1
1954,5,14,18.01,17.78,40.28,4.95,13.89,25.18,3.26,3.89,24.84
1954,5,15,17.92,16.11,39.81,6.09,11.11,24.75,2.62,5,24.24
1954,7,16,25.4,34.44,41.09,15.95,14.44,26.22,4.26,20,20.07
1954,7,17,25.58,32.22,40.96,16.03,13.89,26.23,4.92,18.33,19.37
1954,7,18,24.3,31.11,41.95,15.72,12.22,26.31,3.67,18.89,20.54
1955,3,29,8.82,6.67,36.31,-5.86,-2.22,23.12,2.19,8.89,25.51
1955,6,16,22.51,21.67,41.97,11.73,13.33,26.93,3.64,8.34,22.2
1956,4,12,12.73,12.22,36.69,-2.57,5.56,23.13,1.38,6.66,27.48
1956,5,26,19.7,19.44,41.77,8.02,13.89,26.07,2.53,5.55,24.77
1956,9,9,21.81,25.56,40.69,10.42,8.33,26.76,3.29,17.23,22.03
1956,9,10,21.61,24.44,40.56,9.55,8.89,27.4,3.33,15.55,21.89
1956,9,11,21.51,23.33,40.32,8.21,7.78,28.17,2.97,15.55,22.49
1956,9,15,18.91,36.11,41.69,8.06,11.11,27.51,0.42,25,24.61
1956,9,17,19.69,36.11,40.85,9.18,12.22,27.05,1.86,23.89,22.46
1956,9,27,16.22,14.44,40.66,5.73,11.67,26.83,0.47,2.77,23.85
1957,6,10,21.21,21.11,42.57,9.89,16.67,27.64,1.56,4.44,24.7
1957,8,8,24.77,30.56,41,14.89,13.89,26.96,3.98,16.67,19.94
1957,8,9,24.89,30.56,40.87,15.36,15,26.59,3.36,15.56,20.46
1958,5,8,14.2,13.33,42.53,3.09,5.56,25.63,1.82,7.77,26.17
1958,6,24,23.17,22.78,42.91,13.22,16.67,27.33,4.28,6.11,21.25
1958,7,1,24.36,30,41.92,14.47,14.44,26.88,4.41,15.56,20.52
1958,10,3,16.63,13.33,38.5,1.05,8.89,27.33,1.21,4.44,25.45
1958,10,4,16.22,15,39.12,1.03,11.67,27.4,2.12,3.33,24.76
1959,4,14,10.89,10,38.33,-4.16,4.44,24.68,0.36,5.56,28.32
1960,3,3,0.53,0,36.66,-11.54,-1.11,21.48,-0.44,1.11,27.72
1960,3,10,2.8,2.22,35.7,-10.25,-2.22,21.17,-1.11,4.44,28.75
1960,3,12,4.21,0.56,38,-9.48,-3.33,22.52,-0.53,3.89,29.74
1960,3,17,5.26,4.44,35.91,-9.66,1.67,22.91,-0.78,2.77,28.6
1961,5,27,18.62,24.44,42.06,7.45,7.22,26.8,2.14,17.22,24.34
1961,5,28,19.09,20.56,41.77,7.54,6.67,26.42,3.59,13.89,23.37
1961,6,17,22.03,18.33,42.59,12.17,13.33,26.94,3.41,5,22.1
1961,6,18,21.97,21.67,42.47,12.5,16.67,26.55,4.19,5,21.2
1961,8,21,23.12,20.56,41.34,13.39,15.56,27.24,3.35,5,20.51
1961,9,19,18.52,17.22,41.36,7.76,15,27.26,1.4,2.22,23.56
1961,10,15,13.66,30,37.8,-2.38,1.67,24.89,1.03,28.33,27.94
1962,6,30,24.93,28.33,41.25,13.01,12.78,27.68,5.2,15.55,20.28
1962,7,28,25.5,29.44,41.32,15.81,15.56,26.81,4.32,13.88,19.85
1962,12,13,-2.14,-1.11,33.93,-14.96,-15.56,22.15,-1.79,14.45,26.29
1963,1,24,-2.46,18.89,33.21,-14.96,-9.44,20.43,-1,28.33,26.28
1963,4,26,15.74,15.56,37.86,1.95,11.67,23.29,3.17,3.89,25.23
1963,6,21,23.62,25,42.2,13.5,21.67,26.37,4.01,3.33,21.88
1963,6,24,23.17,22.78,42.91,13.22,17.78,27.33,4.28,5,21.25
1963,7,11,24.77,27.22,41.64,15.8,12.78,26.03,4.2,14.44,20.38
1963,7,12,24.73,30,41.36,15.11,13.89,26.57,4.32,16.11,20.12
1963,8,17,24.45,31.67,41.11,15.61,15.56,26.2,3.6,16.11,20.14
1963,9,15,18.91,18.89,41.69,8.06,14.44,27.51,0.42,4.45,24.61
1963,9,16,18.9,17.78,41.8,8.87,14.44,27.32,0.22,3.34,24.28
1964,8,16,24.79,24.44,40.37,15.07,17.78,26.67,3.55,6.66,19.87
1964,9,14,19.94,18.33,40.92,7.82,12.22,28.19,1.13,6.11,23.73
1964,10,6,14.99,13.89,39.53,0.77,6.67,27.03,0.87,7.22,25.94
1965,6,17,22.03,21.67,42.59,12.17,14.44,26.94,3.41,7.23,22.1
1965,6,18,21.97,21.11,42.47,12.5,14.44,26.55,4.19,6.67,21.2
1966,6,2,20.92,26.67,41.95,9.59,9.44,26.07,3.9,17.23,23.31
1966,6,3,22.28,27.78,41.15,10.72,10.56,25.74,4.07,17.22,22.89
1966,7,23,24.88,31.11,41.48,15.55,15,26.8,4.46,16.11,19.65
1966,8,1,24.26,30,41.98,15.57,15.56,26.66,3.23,14.44,20.78
1966,11,3,9.56,9.44,35.15,-8.28,0.56,24.63,-0.78,8.88,29.2
1967,5,23,19.1,12.78,41.87,7.46,10.56,26.31,1.39,2.22,25.76
1967,7,16,25.4,30,41.09,15.95,15,26.22,4.26,15,20.07
1967,8,11,23.63,22.22,41.4,15.88,18.33,26.2,2.19,3.89,20.77
1967,8,13,24.06,28.33,41.42,15.07,15,26.76,3.53,13.33,20.16
1967,8,16,24.79,30.56,40.37,15.07,15,26.67,3.55,15.56,19.87
1967,9,3,22.72,25,41.24,12.8,12.22,26.45,3.87,12.78,20.86
1967,9,30,16.2,21.67,38.68,2.89,2.78,28.57,-0.58,18.89,24
1968,6,28,22.21,31.67,43.2,13.1,12.78,27.43,2.77,18.89,22.11
1969,8,4,24.12,21.67,41.74,16.09,18.33,26.12,3.6,3.34,20
1971,3,26,7.71,4.44,37.15,-6.68,1.11,23.92,0.77,3.33,26.89
1972,6,2,20.92,27.22,41.95,9.59,9.44,26.07,3.9,17.78,23.31
1972,6,3,22.28,28.89,41.15,10.72,10.56,25.74,4.07,18.33,22.89
1972,6,12,22.45,28.33,41.77,10.41,8.33,27.73,2.98,20,23.1
1972,6,23,23.16,28.33,42.84,13.15,12.22,26.84,4.45,16.11,21.56
1972,6,24,23.17,30.56,42.91,13.22,11.11,27.33,4.28,19.45,21.25
1972,7,8,23.71,28.89,42.24,15.03,14.44,26.77,3.31,14.45,20.82
1974,6,18,21.97,30,42.47,12.5,11.67,26.55,4.19,18.33,21.2
1974,6,25,23.54,27.78,42.21,14.41,13.33,26.25,3.72,14.45,21.37
1974,7,14,24.13,30.56,42.3,15.78,15,26.56,3.73,15.56,20.4
1974,7,15,25.66,32.78,41.29,15.7,15.56,26.61,4.21,17.22,20.43
1974,10,4,16.22,18.33,39.12,1.03,0.56,27.4,2.12,17.77,24.76
1975,7,15,25.66,25,41.29,15.7,18.33,26.61,4.21,6.67,20.43
1975,7,17,25.58,25.56,40.96,16.03,17.78,26.23,4.92,7.78,19.37
1976,5,19,18.4,23.33,41.36,6.64,3.89,25.4,2.35,19.44,25.32
1976,5,20,19.36,27.78,41.14,7.21,5.56,25.25,2.2,22.22,25.9
1976,8,5,25.39,31.11,40.87,15.6,13.89,26.45,3.85,17.22,20.44
1976,8,19,24.13,30,41.36,15.73,15.56,25.87,2.96,14.44,21.04
1976,8,21,23.12,22.78,41.34,13.39,17.78,27.24,3.35,5,20.51
1976,9,12,21.67,28.89,40.04,8.04,7.78,27.99,2.53,21.11,23.15
1979,5,26,19.7,22.78,41.77,8.02,7.78,26.07,2.53,15,24.77
1979,6,26,23.58,23.33,41.92,14.76,16.67,26.25,3.84,6.66,20.64
1979,7,8,23.71,23.89,42.24,15.03,15,26.77,3.31,8.89,20.82
1979,8,13,24.06,27.78,41.42,15.07,15,26.76,3.53,12.78,20.16
1979,8,18,24.41,29.44,41.32,15.18,12.78,26.2,3.07,16.66,21.27
1980,3,2,1.54,-2.22,35.18,-10.26,-7.78,19.54,-0.69,5.56,28.09
1980,3,3,0.53,7.78,36.66,-11.54,-12.78,21.48,-0.44,20.56,27.72
1981,6,29,23.24,30,42.16,13.01,12.78,27.51,2.91,17.22,21.98
1981,7,31,23.71,22.78,42.78,15.47,17.78,26.66,3.3,5,21.06
1981,8,18,24.41,23.89,41.32,15.18,19.44,26.2,3.07,4.45,21.27
1981,8,19,24.13,22.22,41.36,15.73,18.89,25.87,2.96,3.33,21.04
1981,9,19,18.52,24.44,41.36,7.76,7.22,27.26,1.4,17.22,23.56
1981,9,20,19.16,27.78,41.07,7.37,7.22,27.73,1.57,20.56,23.51
1981,10,25,10.97,8.89,36.21,-5.45,5.56,24.33,0.02,3.33,28.18
1982,6,18,21.97,23.89,42.47,12.5,20,26.55,4.19,3.89,21.2
1982,10,24,11.64,9.44,36.47,-4.24,6.67,23.22,0.59,2.77,28.43
1983,3,24,7.57,6.67,36.5,-5.7,5,21.24,0.01,1.67,28.45
1983,4,18,12.41,12.22,38.77,-3.15,5,24.07,2.16,7.22,28.05
1983,4,20,12.37,16.11,39,-0.7,-2.78,23.62,1.36,18.89,27.18
1983,7,9,24.06,33.33,42.06,14.97,13.89,26.42,3.31,19.44,21.41
1983,8,15,24,30.56,41.25,14.49,14.44,26.96,4.4,16.12,19.51
1984,5,31,20.26,22.22,41.44,8.88,6.67,25.8,3.7,15.55,23.33
1984,7,19,24.46,25,42.19,16.05,21.67,26.42,3.65,3.33,20.53
1985,1,21,-5.34,-1.67,34.99,-16.38,-18.33,20.97,-2.02,16.66,27.05
1985,8,4,24.12,28.33,41.74,16.09,14.44,26.12,3.6,13.89,20
1985,8,5,25.39,30.56,40.87,15.6,15,26.45,3.85,15.56,20.44
1985,9,14,19.94,22.78,40.92,7.82,7.22,28.19,1.13,15.56,23.73
1986,8,30,22.21,19.44,40.96,13.01,12.78,26.72,1.92,6.66,21.51
1986,8,31,22.5,18.89,41.08,12.61,15,26.74,2.44,3.89,21.85
1987,7,19,24.46,32.22,42.19,16.05,15,26.42,3.65,17.22,20.53
1987,7,20,24.25,33.89,42.4,15.81,15,26.44,3.75,18.89,20.74
1988,5,27,18.62,23.33,42.06,7.45,7.22,26.8,2.14,16.11,24.34
1988,6,5,20.43,27.22,41.45,10.57,7.78,26.63,2.43,19.44,22.24
1988,6,12,22.45,28.33,41.77,10.41,9.44,27.73,2.98,18.89,23.1
1988,7,7,23.77,32.22,41.42,14.81,12.78,26.79,2.97,19.44,20.59
1989,4,11,10.97,9.44,37.9,-4.75,3.33,24.09,2.6,6.11,26.94
1989,5,8,14.2,21.67,42.53,3.09,2.78,25.63,1.82,18.89,26.17
1989,8,9,24.89,23.33,40.87,15.36,17.22,26.59,3.36,6.11,20.46
1989,8,10,25.12,25,41.25,15.87,17.78,26.31,3.59,7.22,20.59
1989,12,23,-1.84,-2.22,31.77,-14.72,-9.44,19.77,-2.39,7.22,27.27
1991,5,20,19.36,18.89,41.14,7.21,12.78,25.25,2.2,6.11,25.9
1991,11,10,6.68,6.67,35.56,-9.26,1.67,23.42,0.23,5,27.75
1992,5,7,15.47,11.11,40.8,2.57,7.22,25.22,1.98,3.89,26.47
1992,5,8,14.2,11.67,42.53,3.09,6.67,25.63,1.82,5,26.17
1992,6,13,22.09,21.67,42.35,10.97,16.67,27.58,2.58,5,23.34
1992,8,14,23.83,25,41.55,14.7,21.11,26.99,4.55,3.89,19.19
1992,8,15,24,23.33,41.25,14.49,18.33,26.96,4.4,5,19.51
1993,10,11,13.19,11.11,38.12,-1.89,8.33,26.4,-1.05,2.78,27.8
1994,1,19,-2.04,-2.22,31.8,-14.14,-12.22,18.67,-0.28,10,25.5
1994,5,21,17.96,22.78,41.8,6.93,5,26.29,0.84,17.78,25.77
1994,8,8,24.77,28.89,41,14.89,13.33,26.96,3.98,15.56,19.94
1994,8,9,24.89,31.11,40.87,15.36,13.33,26.59,3.36,17.78,20.46
1994,8,10,25.12,32.78,41.25,15.87,15.56,26.31,3.59,17.22,20.59
1994,8,25,23.77,29.44,40.57,13.05,12.78,26.7,3.86,16.66,20.73
1994,9,3,22.72,21.67,41.24,12.8,16.67,26.45,3.87,5,20.86
1994,9,5,21.3,28.33,41.88,12.02,11.11,27.26,1.38,17.22,22.52
1994,10,12,14.86,13.89,37.34,-2.22,7.78,26,0.23,6.11,28.18
1995,9,24,16.47,13.89,41.7,3.69,8.33,27.73,2.13,5.56,24.62
1996,7,4,25.2,37.22,41.16,14.62,16.11,26.59,4.5,21.11,20.62
1997,6,6,21.96,21.67,40.31,10.41,12.22,26.66,3.1,9.45,22.1
1997,6,7,21.27,18.89,41.73,11.08,13.89,26.12,2.12,5,23.67
1997,8,1,24.26,25.56,41.98,15.57,14.44,26.66,3.23,11.12,20.78
1997,9,5,21.3,27.22,41.88,12.02,8.89,27.26,1.38,18.33,22.52
1997,9,6,21.08,29.44,42.01,12.26,10.56,26.61,2.18,18.88,22.07
1998,8,5,25.39,33.33,40.87,15.6,14.44,26.45,3.85,18.89,20.44
1998,8,6,25.1,31.67,41,15.7,15,26.4,4.38,16.67,19.63
1998,8,21,23.12,30.56,41.34,13.39,13.33,27.24,3.35,17.23,20.51
1998,8,22,23.8,32.78,40.8,13.26,12.78,27.01,2.78,20,21.55
1998,9,10,21.61,27.78,40.56,9.55,8.33,27.4,3.33,19.45,21.89
1999,4,29,12.86,12.22,40.61,-0.68,7.78,25.6,2.7,4.44,25.91
1999,4,30,14.98,10.56,39.56,0.82,3.89,24.52,2.38,6.67,26.88
1999,5,1,16.49,12.78,38.53,2.84,6.11,23.97,3.01,6.67,25.29
1999,6,19,22.02,28.33,42.8,12.73,11.67,26.35,3.85,16.66,21.89
1999,6,23,23.16,28.89,42.84,13.15,12.22,26.84,4.45,16.67,21.56
1999,7,14,24.13,22.78,42.3,15.78,15,26.56,3.73,7.78,20.4
1999,7,17,25.58,31.11,40.96,16.03,15.56,26.23,4.92,15.55,19.37
1999,7,26,25.86,38.89,40.62,15.64,18.89,26.51,4.69,20,19.67
1999,7,27,25.75,38.89,40.9,15.98,17.78,26.45,4.3,21.11,19.91
1999,8,1,24.26,42.22,41.98,15.57,21.11,26.66,3.23,21.11,20.78
1999,8,5,25.39,35.56,40.87,15.6,15.56,26.45,3.85,20,20.44
1999,8,31,22.5,31.11,41.08,12.61,10,26.74,2.44,21.11,21.85
1999,9,1,22.66,32.22,41.06,12.41,8.89,26.6,2.4,23.33,22.36
